,country_iso3,date,value,indicator,last_updated
0,AFE,2021,,BX.KLT.DINV.CD.WD,2022-06-30
1,AFE,2020,12579869164.5391,BX.KLT.DINV.CD.WD,2022-06-30
2,AFE,2019,13822339812.8254,BX.KLT.DINV.CD.WD,2022-06-30
3,AFE,2018,13591471906.0589,BX.KLT.DINV.CD.WD,2022-06-30
4,AFE,2017,10035435019.5795,BX.KLT.DINV.CD.WD,2022-06-30
5,AFE,2016,16632781726.0579,BX.KLT.DINV.CD.WD,2022-06-30
6,AFE,2015,28774225014.3153,BX.KLT.DINV.CD.WD,2022-06-30
7,AFE,2014,27681416018.2041,BX.KLT.DINV.CD.WD,2022-06-30
8,AFE,2013,21534243340.2906,BX.KLT.DINV.CD.WD,2022-06-30
9,AFE,2012,24636336183.865,BX.KLT.DINV.CD.WD,2022-06-30
10,AFE,2011,17538697878.7749,BX.KLT.DINV.CD.WD,2022-06-30
11,AFE,2010,13934880233.3035,BX.KLT.DINV.CD.WD,2022-06-30
12,AFE,2009,18484266803.809,BX.KLT.DINV.CD.WD,2022-06-30
13,AFE,2008,22483229907.2115,BX.KLT.DINV.CD.WD,2022-06-30
14,AFE,2007,16122295356.625,BX.KLT.DINV.CD.WD,2022-06-30
15,AFE,2006,7234542919.62867,BX.KLT.DINV.CD.WD,2022-06-30
16,AFE,2005,10333884246.5645,BX.KLT.DINV.CD.WD,2022-06-30
17,AFE,2004,7979691821.36791,BX.KLT.DINV.CD.WD,2022-06-30
18,AFE,2003,8555149192.20714,BX.KLT.DINV.CD.WD,2022-06-30
19,AFE,2002,6464121932.6928,BX.KLT.DINV.CD.WD,2022-06-30
20,AFE,2001,12205013826.7179,BX.KLT.DINV.CD.WD,2022-06-30
21,AFE,2000,4315007316.09714,BX.KLT.DINV.CD.WD,2022-06-30
22,AFE,1999,6254803630.58533,BX.KLT.DINV.CD.WD,2022-06-30
23,AFE,1998,4121573935.1936,BX.KLT.DINV.CD.WD,2022-06-30
24,AFE,1997,5757027922.5158,BX.KLT.DINV.CD.WD,2022-06-30
25,AFE,1996,2087426790.37505,BX.KLT.DINV.CD.WD,2022-06-30
26,AFE,1995,2662958896.26387,BX.KLT.DINV.CD.WD,2022-06-30
27,AFE,1994,1187864680.17484,BX.KLT.DINV.CD.WD,2022-06-30
28,AFE,1993,839509681.785947,BX.KLT.DINV.CD.WD,2022-06-30
29,AFE,1992,652324976.317141,BX.KLT.DINV.CD.WD,2022-06-30
30,AFE,1991,1241968645.57255,BX.KLT.DINV.CD.WD,2022-06-30
31,AFE,1990,88673056.8135137,BX.KLT.DINV.CD.WD,2022-06-30
32,AFE,1989,400488555.909831,BX.KLT.DINV.CD.WD,2022-06-30
33,AFE,1988,536594623.832505,BX.KLT.DINV.CD.WD,2022-06-30
34,AFE,1987,279804684.253772,BX.KLT.DINV.CD.WD,2022-06-30
35,AFE,1986,411045300.703155,BX.KLT.DINV.CD.WD,2022-06-30
36,AFE,1985,106432296.255464,BX.KLT.DINV.CD.WD,2022-06-30
37,AFE,1984,598858245.285658,BX.KLT.DINV.CD.WD,2022-06-30
38,AFE,1983,86246455.0162176,BX.KLT.DINV.CD.WD,2022-06-30
39,AFE,1982,581698643.395738,BX.KLT.DINV.CD.WD,2022-06-30
40,AFE,1981,372130053.332138,BX.KLT.DINV.CD.WD,2022-06-30
41,AFE,1980,483620276.464599,BX.KLT.DINV.CD.WD,2022-06-30
42,AFE,1979,-12312370.2354044,BX.KLT.DINV.CD.WD,2022-06-30
43,AFE,1978,168439069.534013,BX.KLT.DINV.CD.WD,2022-06-30
44,AFE,1977,67103622.181923,BX.KLT.DINV.CD.WD,2022-06-30
45,AFE,1976,411261082.713661,BX.KLT.DINV.CD.WD,2022-06-30
46,AFE,1975,316834707.280156,BX.KLT.DINV.CD.WD,2022-06-30
47,AFE,1974,898515563.33944,BX.KLT.DINV.CD.WD,2022-06-30
48,AFE,1973,176559138.71,BX.KLT.DINV.CD.WD,2022-06-30
49,AFE,1972,218888245.7,BX.KLT.DINV.CD.WD,2022-06-30
50,AFE,1971,326490932.4,BX.KLT.DINV.CD.WD,2022-06-30
51,AFE,1970,421709865.6,BX.KLT.DINV.CD.WD,2022-06-30
52,AFE,1969,,BX.KLT.DINV.CD.WD,2022-06-30
53,AFE,1968,,BX.KLT.DINV.CD.WD,2022-06-30
54,AFE,1967,,BX.KLT.DINV.CD.WD,2022-06-30
55,AFE,1966,,BX.KLT.DINV.CD.WD,2022-06-30
56,AFE,1965,,BX.KLT.DINV.CD.WD,2022-06-30
57,AFE,1964,,BX.KLT.DINV.CD.WD,2022-06-30
58,AFE,1963,,BX.KLT.DINV.CD.WD,2022-06-30
59,AFE,1962,,BX.KLT.DINV.CD.WD,2022-06-30
60,AFE,1961,,BX.KLT.DINV.CD.WD,2022-06-30
61,AFE,1960,,BX.KLT.DINV.CD.WD,2022-06-30
62,AFW,2021,,BX.KLT.DINV.CD.WD,2022-06-30
63,AFW,2020,16508591092.3012,BX.KLT.DINV.CD.WD,2022-06-30
64,AFW,2019,17185842219.1231,BX.KLT.DINV.CD.WD,2022-06-30
65,AFW,2018,15501984456.22,BX.KLT.DINV.CD.WD,2022-06-30
66,AFW,2017,17662420840.5063,BX.KLT.DINV.CD.WD,2022-06-30
67,AFW,2016,13937007387.4478,BX.KLT.DINV.CD.WD,2022-06-30
68,AFW,2015,15641451934.9814,BX.KLT.DINV.CD.WD,2022-06-30
69,AFW,2014,16594182731.8597,BX.KLT.DINV.CD.WD,2022-06-30
70,AFW,2013,19157019412.33,BX.KLT.DINV.CD.WD,2022-06-30
71,AFW,2012,20912683331.317,BX.KLT.DINV.CD.WD,2022-06-30
72,AFW,2011,24500747178.0798,BX.KLT.DINV.CD.WD,2022-06-30
73,AFW,2010,18872839266.9663,BX.KLT.DINV.CD.WD,2022-06-30
74,AFW,2009,18154979264.5871,BX.KLT.DINV.CD.WD,2022-06-30
75,AFW,2008,16309590527.352,BX.KLT.DINV.CD.WD,2022-06-30
76,AFW,2007,13028775910.8222,BX.KLT.DINV.CD.WD,2022-06-30
77,AFW,2006,9201033829.62228,BX.KLT.DINV.CD.WD,2022-06-30
78,AFW,2005,9277810749.77635,BX.KLT.DINV.CD.WD,2022-06-30
79,AFW,2004,4653589988.4422,BX.KLT.DINV.CD.WD,2022-06-30
80,AFW,2003,5261673552.42893,BX.KLT.DINV.CD.WD,2022-06-30
81,AFW,2002,4407579214.88323,BX.KLT.DINV.CD.WD,2022-06-30
82,AFW,2001,3224457122.88258,BX.KLT.DINV.CD.WD,2022-06-30
83,AFW,2000,2560338554.08638,BX.KLT.DINV.CD.WD,2022-06-30
84,AFW,1999,2391083497.69978,BX.KLT.DINV.CD.WD,2022-06-30
85,AFW,1998,1897977339.22955,BX.KLT.DINV.CD.WD,2022-06-30
86,AFW,1997,1622432324.64235,BX.KLT.DINV.CD.WD,2022-06-30
87,AFW,1996,1182474450.18205,BX.KLT.DINV.CD.WD,2022-06-30
88,AFW,1995,945428066.172441,BX.KLT.DINV.CD.WD,2022-06-30
89,AFW,1994,2389930550.70975,BX.KLT.DINV.CD.WD,2022-06-30
90,AFW,1993,1757936795.50148,BX.KLT.DINV.CD.WD,2022-06-30
91,AFW,1992,1214631404.05396,BX.KLT.DINV.CD.WD,2022-06-30
92,AFW,1991,837652709.306607,BX.KLT.DINV.CD.WD,2022-06-30
93,AFW,1990,1073307823.62589,BX.KLT.DINV.CD.WD,2022-06-30
94,AFW,1989,2569136447.72938,BX.KLT.DINV.CD.WD,2022-06-30
95,AFW,1988,973621876.651453,BX.KLT.DINV.CD.WD,2022-06-30
96,AFW,1987,1037919132.48478,BX.KLT.DINV.CD.WD,2022-06-30
97,AFW,1986,204429670.558956,BX.KLT.DINV.CD.WD,2022-06-30
98,AFW,1985,893620026.79566,BX.KLT.DINV.CD.WD,2022-06-30
99,AFW,1984,338951391.008596,BX.KLT.DINV.CD.WD,2022-06-30
