,country_iso3,date,value,indicator,last_updated
0,AFE,2021,,FI.RES.TOTL.CD,2022-06-30
1,AFE,2020,,FI.RES.TOTL.CD,2022-06-30
2,AFE,2019,,FI.RES.TOTL.CD,2022-06-30
3,AFE,2018,,FI.RES.TOTL.CD,2022-06-30
4,AFE,2017,,FI.RES.TOTL.CD,2022-06-30
5,AFE,2016,,FI.RES.TOTL.CD,2022-06-30
6,AFE,2015,,FI.RES.TOTL.CD,2022-06-30
7,AFE,2014,,FI.RES.TOTL.CD,2022-06-30
8,AFE,2013,,FI.RES.TOTL.CD,2022-06-30
9,AFE,2012,,FI.RES.TOTL.CD,2022-06-30
10,AFE,2011,,FI.RES.TOTL.CD,2022-06-30
11,AFE,2010,,FI.RES.TOTL.CD,2022-06-30
12,AFE,2009,,FI.RES.TOTL.CD,2022-06-30
13,AFE,2008,,FI.RES.TOTL.CD,2022-06-30
14,AFE,2007,,FI.RES.TOTL.CD,2022-06-30
15,AFE,2006,,FI.RES.TOTL.CD,2022-06-30
16,AFE,2005,,FI.RES.TOTL.CD,2022-06-30
17,AFE,2004,,FI.RES.TOTL.CD,2022-06-30
18,AFE,2003,,FI.RES.TOTL.CD,2022-06-30
19,AFE,2002,,FI.RES.TOTL.CD,2022-06-30
20,AFE,2001,,FI.RES.TOTL.CD,2022-06-30
21,AFE,2000,,FI.RES.TOTL.CD,2022-06-30
22,AFE,1999,,FI.RES.TOTL.CD,2022-06-30
23,AFE,1998,,FI.RES.TOTL.CD,2022-06-30
24,AFE,1997,,FI.RES.TOTL.CD,2022-06-30
25,AFE,1996,,FI.RES.TOTL.CD,2022-06-30
26,AFE,1995,,FI.RES.TOTL.CD,2022-06-30
27,AFE,1994,,FI.RES.TOTL.CD,2022-06-30
28,AFE,1993,,FI.RES.TOTL.CD,2022-06-30
29,AFE,1992,,FI.RES.TOTL.CD,2022-06-30
30,AFE,1991,,FI.RES.TOTL.CD,2022-06-30
31,AFE,1990,,FI.RES.TOTL.CD,2022-06-30
32,AFE,1989,,FI.RES.TOTL.CD,2022-06-30
33,AFE,1988,,FI.RES.TOTL.CD,2022-06-30
34,AFE,1987,,FI.RES.TOTL.CD,2022-06-30
35,AFE,1986,,FI.RES.TOTL.CD,2022-06-30
36,AFE,1985,,FI.RES.TOTL.CD,2022-06-30
37,AFE,1984,,FI.RES.TOTL.CD,2022-06-30
38,AFE,1983,,FI.RES.TOTL.CD,2022-06-30
39,AFE,1982,,FI.RES.TOTL.CD,2022-06-30
40,AFE,1981,,FI.RES.TOTL.CD,2022-06-30
41,AFE,1980,,FI.RES.TOTL.CD,2022-06-30
42,AFE,1979,,FI.RES.TOTL.CD,2022-06-30
43,AFE,1978,,FI.RES.TOTL.CD,2022-06-30
44,AFE,1977,,FI.RES.TOTL.CD,2022-06-30
45,AFE,1976,,FI.RES.TOTL.CD,2022-06-30
46,AFE,1975,,FI.RES.TOTL.CD,2022-06-30
47,AFE,1974,,FI.RES.TOTL.CD,2022-06-30
48,AFE,1973,,FI.RES.TOTL.CD,2022-06-30
49,AFE,1972,,FI.RES.TOTL.CD,2022-06-30
50,AFE,1971,,FI.RES.TOTL.CD,2022-06-30
51,AFE,1970,,FI.RES.TOTL.CD,2022-06-30
52,AFE,1969,,FI.RES.TOTL.CD,2022-06-30
53,AFE,1968,,FI.RES.TOTL.CD,2022-06-30
