,country_iso3,date,value,indicator,last_updated
0,AFE,2021,1026193534060.04,NY.GDP.MKTP.KD,2022-06-30
1,AFE,2020,983851827431.617,NY.GDP.MKTP.KD,2022-06-30
2,AFE,2019,1013098519257.66,NY.GDP.MKTP.KD,2022-06-30
3,AFE,2018,992981307027.626,NY.GDP.MKTP.KD,2022-06-30
4,AFE,2017,968901732668.341,NY.GDP.MKTP.KD,2022-06-30
5,AFE,2016,944743367528.776,NY.GDP.MKTP.KD,2022-06-30
6,AFE,2015,924252536256.503,NY.GDP.MKTP.KD,2022-06-30
7,AFE,2014,897743557072.02,NY.GDP.MKTP.KD,2022-06-30
8,AFE,2013,863344569479.045,NY.GDP.MKTP.KD,2022-06-30
9,AFE,2012,828543991489.836,NY.GDP.MKTP.KD,2022-06-30
10,AFE,2011,820965924465.038,NY.GDP.MKTP.KD,2022-06-30
11,AFE,2010,791820053991.52,NY.GDP.MKTP.KD,2022-06-30
12,AFE,2009,753023347234.945,NY.GDP.MKTP.KD,2022-06-30
13,AFE,2008,747334494876.688,NY.GDP.MKTP.KD,2022-06-30
14,AFE,2007,716225550018.273,NY.GDP.MKTP.KD,2022-06-30
15,AFE,2006,671854389817.701,NY.GDP.MKTP.KD,2022-06-30
16,AFE,2005,630524274729.349,NY.GDP.MKTP.KD,2022-06-30
17,AFE,2004,594179496010.577,NY.GDP.MKTP.KD,2022-06-30
18,AFE,2003,563158712580.884,NY.GDP.MKTP.KD,2022-06-30
19,AFE,2002,546329703370.247,NY.GDP.MKTP.KD,2022-06-30
20,AFE,2001,525856130799.963,NY.GDP.MKTP.KD,2022-06-30
21,AFE,2000,507295696971.68,NY.GDP.MKTP.KD,2022-06-30
22,AFE,1999,490848476323.347,NY.GDP.MKTP.KD,2022-06-30
23,AFE,1998,478239751908.746,NY.GDP.MKTP.KD,2022-06-30
24,AFE,1997,469561496093.484,NY.GDP.MKTP.KD,2022-06-30
25,AFE,1996,449668158388.591,NY.GDP.MKTP.KD,2022-06-30
26,AFE,1995,426481788139.378,NY.GDP.MKTP.KD,2022-06-30
27,AFE,1994,408935351764.277,NY.GDP.MKTP.KD,2022-06-30
28,AFE,1993,400815405593.75,NY.GDP.MKTP.KD,2022-06-30
29,AFE,1992,402393997641.669,NY.GDP.MKTP.KD,2022-06-30
30,AFE,1991,410518645878.705,NY.GDP.MKTP.KD,2022-06-30
31,AFE,1990,410086820278.211,NY.GDP.MKTP.KD,2022-06-30
32,AFE,1989,410249596265.121,NY.GDP.MKTP.KD,2022-06-30
33,AFE,1988,398696805198.892,NY.GDP.MKTP.KD,2022-06-30
34,AFE,1987,383370518704.131,NY.GDP.MKTP.KD,2022-06-30
35,AFE,1986,367803420757.96,NY.GDP.MKTP.KD,2022-06-30
36,AFE,1985,359582551526.553,NY.GDP.MKTP.KD,2022-06-30
37,AFE,1984,361199603624.801,NY.GDP.MKTP.KD,2022-06-30
38,AFE,1983,350659371141.95,NY.GDP.MKTP.KD,2022-06-30
39,AFE,1982,350125943497.583,NY.GDP.MKTP.KD,2022-06-30
40,AFE,1981,348354611550.266,NY.GDP.MKTP.KD,2022-06-30
41,AFE,1980,333894467085.439,NY.GDP.MKTP.KD,2022-06-30
42,AFE,1979,316729677237.745,NY.GDP.MKTP.KD,2022-06-30
43,AFE,1978,308115611474.247,NY.GDP.MKTP.KD,2022-06-30
44,AFE,1977,304963670207.264,NY.GDP.MKTP.KD,2022-06-30
45,AFE,1976,301255978833.202,NY.GDP.MKTP.KD,2022-06-30
46,AFE,1975,292918714483.688,NY.GDP.MKTP.KD,2022-06-30
47,AFE,1974,287937173078.741,NY.GDP.MKTP.KD,2022-06-30
48,AFE,1973,271924388582.519,NY.GDP.MKTP.KD,2022-06-30
49,AFE,1972,260371092098.563,NY.GDP.MKTP.KD,2022-06-30
50,AFE,1971,254890027115.417,NY.GDP.MKTP.KD,2022-06-30
51,AFE,1970,241896202781.842,NY.GDP.MKTP.KD,2022-06-30
52,AFE,1969,231035751083.638,NY.GDP.MKTP.KD,2022-06-30
53,AFE,1968,219449004570.601,NY.GDP.MKTP.KD,2022-06-30
54,AFE,1967,210960429261.977,NY.GDP.MKTP.KD,2022-06-30
55,AFE,1966,200424494995.014,NY.GDP.MKTP.KD,2022-06-30
56,AFE,1965,192878865670.507,NY.GDP.MKTP.KD,2022-06-30
57,AFE,1964,183122612039.834,NY.GDP.MKTP.KD,2022-06-30
58,AFE,1963,175102979196.268,NY.GDP.MKTP.KD,2022-06-30
59,AFE,1962,166504148339.396,NY.GDP.MKTP.KD,2022-06-30
60,AFE,1961,154197967020.789,NY.GDP.MKTP.KD,2022-06-30
61,AFE,1960,153829401247.696,NY.GDP.MKTP.KD,2022-06-30
62,AFW,2021,852763842656.535,NY.GDP.MKTP.KD,2022-06-30
63,AFW,2020,820637533071.23,NY.GDP.MKTP.KD,2022-06-30
64,AFW,2019,828065395939.522,NY.GDP.MKTP.KD,2022-06-30
65,AFW,2018,802369168769.616,NY.GDP.MKTP.KD,2022-06-30
66,AFW,2017,779360954662.217,NY.GDP.MKTP.KD,2022-06-30
67,AFW,2016,761707030761.304,NY.GDP.MKTP.KD,2022-06-30
68,AFW,2015,760734474152.243,NY.GDP.MKTP.KD,2022-06-30
69,AFW,2014,740403767841.78,NY.GDP.MKTP.KD,2022-06-30
70,AFW,2013,698973147240.975,NY.GDP.MKTP.KD,2022-06-30
71,AFW,2012,658761102718.812,NY.GDP.MKTP.KD,2022-06-30
72,AFW,2011,626538259609.043,NY.GDP.MKTP.KD,2022-06-30
73,AFW,2010,597566259897.929,NY.GDP.MKTP.KD,2022-06-30
74,AFW,2009,558697505828.65,NY.GDP.MKTP.KD,2022-06-30
75,AFW,2008,525711734629.456,NY.GDP.MKTP.KD,2022-06-30
76,AFW,2007,494651465117.217,NY.GDP.MKTP.KD,2022-06-30
77,AFW,2006,468726668612.85,NY.GDP.MKTP.KD,2022-06-30
78,AFW,2005,444819904985.748,NY.GDP.MKTP.KD,2022-06-30
79,AFW,2004,420242588400.76,NY.GDP.MKTP.KD,2022-06-30
80,AFW,2003,389065045256.605,NY.GDP.MKTP.KD,2022-06-30
81,AFW,2002,368717466850.512,NY.GDP.MKTP.KD,2022-06-30
82,AFW,2001,335504078821.249,NY.GDP.MKTP.KD,2022-06-30
83,AFW,2000,318881779809.304,NY.GDP.MKTP.KD,2022-06-30
84,AFW,1999,307401366916.321,NY.GDP.MKTP.KD,2022-06-30
