,country_iso3,date,value,indicator,last_updated
0,AFE,2021,694665117,SP.POP.TOTL,2022-06-30
1,AFE,2020,677243299,SP.POP.TOTL,2022-06-30
2,AFE,2019,660046272,SP.POP.TOTL,2022-06-30
3,AFE,2018,643090131,SP.POP.TOTL,2022-06-30
4,AFE,2017,626392880,SP.POP.TOTL,2022-06-30
5,AFE,2016,609978946,SP.POP.TOTL,2022-06-30
6,AFE,2015,593871847,SP.POP.TOTL,2022-06-30
7,AFE,2014,578075373,SP.POP.TOTL,2022-06-30
8,AFE,2013,562601578,SP.POP.TOTL,2022-06-30
9,AFE,2012,547482863,SP.POP.TOTL,2022-06-30
10,AFE,2011,532760424,SP.POP.TOTL,2022-06-30
11,AFE,2010,518468229,SP.POP.TOTL,2022-06-30
12,AFE,2009,504604672,SP.POP.TOTL,2022-06-30
13,AFE,2008,491173160,SP.POP.TOTL,2022-06-30
14,AFE,2007,478166911,SP.POP.TOTL,2022-06-30
15,AFE,2006,465581372,SP.POP.TOTL,2022-06-30
16,AFE,2005,453404076,SP.POP.TOTL,2022-06-30
17,AFE,2004,441630149,SP.POP.TOTL,2022-06-30
18,AFE,2003,430246635,SP.POP.TOTL,2022-06-30
19,AFE,2002,419223717,SP.POP.TOTL,2022-06-30
20,AFE,2001,408522129,SP.POP.TOTL,2022-06-30
21,AFE,2000,398113044,SP.POP.TOTL,2022-06-30
22,AFE,1999,387977990,SP.POP.TOTL,2022-06-30
23,AFE,1998,378098393,SP.POP.TOTL,2022-06-30
24,AFE,1997,368440591,SP.POP.TOTL,2022-06-30
25,AFE,1996,358953595,SP.POP.TOTL,2022-06-30
26,AFE,1995,349605660,SP.POP.TOTL,2022-06-30
27,AFE,1994,340379934,SP.POP.TOTL,2022-06-30
28,AFE,1993,331265579,SP.POP.TOTL,2022-06-30
29,AFE,1992,322270073,SP.POP.TOTL,2022-06-30
30,AFE,1991,313394693,SP.POP.TOTL,2022-06-30
31,AFE,1990,304648010,SP.POP.TOTL,2022-06-30
32,AFE,1989,296024639,SP.POP.TOTL,2022-06-30
33,AFE,1988,287524258,SP.POP.TOTL,2022-06-30
34,AFE,1987,279184536,SP.POP.TOTL,2022-06-30
35,AFE,1986,271050065,SP.POP.TOTL,2022-06-30
36,AFE,1985,263161451,SP.POP.TOTL,2022-06-30
37,AFE,1984,255530063,SP.POP.TOTL,2022-06-30
38,AFE,1983,248146290,SP.POP.TOTL,2022-06-30
39,AFE,1982,240999134,SP.POP.TOTL,2022-06-30
40,AFE,1981,234058404,SP.POP.TOTL,2022-06-30
41,AFE,1980,227305945,SP.POP.TOTL,2022-06-30
42,AFE,1979,220740384,SP.POP.TOTL,2022-06-30
43,AFE,1978,214368393,SP.POP.TOTL,2022-06-30
44,AFE,1977,208193045,SP.POP.TOTL,2022-06-30
45,AFE,1976,202205766,SP.POP.TOTL,2022-06-30
46,AFE,1975,196409937,SP.POP.TOTL,2022-06-30
47,AFE,1974,190800796,SP.POP.TOTL,2022-06-30
48,AFE,1973,185376550,SP.POP.TOTL,2022-06-30
49,AFE,1972,180141148,SP.POP.TOTL,2022-06-30
50,AFE,1971,175100167,SP.POP.TOTL,2022-06-30
51,AFE,1970,170257189,SP.POP.TOTL,2022-06-30
52,AFE,1969,165611760,SP.POP.TOTL,2022-06-30
53,AFE,1968,161156430,SP.POP.TOTL,2022-06-30
54,AFE,1967,156876454,SP.POP.TOTL,2022-06-30
55,AFE,1966,152752671,SP.POP.TOTL,2022-06-30
56,AFE,1965,148769974,SP.POP.TOTL,2022-06-30
57,AFE,1964,144920186,SP.POP.TOTL,2022-06-30
58,AFE,1963,141202036,SP.POP.TOTL,2022-06-30
59,AFE,1962,137614644,SP.POP.TOTL,2022-06-30
60,AFE,1961,134159786,SP.POP.TOTL,2022-06-30
61,AFE,1960,130836765,SP.POP.TOTL,2022-06-30
62,AFW,2021,470898870,SP.POP.TOTL,2022-06-30
63,AFW,2020,458803476,SP.POP.TOTL,2022-06-30
64,AFW,2019,446911598,SP.POP.TOTL,2022-06-30
65,AFW,2018,435229381,SP.POP.TOTL,2022-06-30
66,AFW,2017,423769930,SP.POP.TOTL,2022-06-30
67,AFW,2016,412551299,SP.POP.TOTL,2022-06-30
68,AFW,2015,401586651,SP.POP.TOTL,2022-06-30
69,AFW,2014,390882979,SP.POP.TOTL,2022-06-30
70,AFW,2013,380437896,SP.POP.TOTL,2022-06-30
71,AFW,2012,370243017,SP.POP.TOTL,2022-06-30
72,AFW,2011,360285439,SP.POP.TOTL,2022-06-30
73,AFW,2010,350556886,SP.POP.TOTL,2022-06-30
74,AFW,2009,341050537,SP.POP.TOTL,2022-06-30
75,AFW,2008,331772330,SP.POP.TOTL,2022-06-30
76,AFW,2007,322741656,SP.POP.TOTL,2022-06-30
77,AFW,2006,313985474,SP.POP.TOTL,2022-06-30
78,AFW,2005,305520588,SP.POP.TOTL,2022-06-30
79,AFW,2004,297353098,SP.POP.TOTL,2022-06-30
80,AFW,2003,289469530,SP.POP.TOTL,2022-06-30
81,AFW,2002,281842480,SP.POP.TOTL,2022-06-30
82,AFW,2001,274433894,SP.POP.TOTL,2022-06-30
83,AFW,2000,267214544,SP.POP.TOTL,2022-06-30
84,AFW,1999,260170348,SP.POP.TOTL,2022-06-30
85,AFW,1998,253302310,SP.POP.TOTL,2022-06-30
86,AFW,1997,246613750,SP.POP.TOTL,2022-06-30
87,AFW,1996,240114179,SP.POP.TOTL,2022-06-30
88,AFW,1995,233807627,SP.POP.TOTL,2022-06-30
89,AFW,1994,227692136,SP.POP.TOTL,2022-06-30
90,AFW,1993,221754806,SP.POP.TOTL,2022-06-30
91,AFW,1992,215976366,SP.POP.TOTL,2022-06-30
92,AFW,1991,210332267,SP.POP.TOTL,2022-06-30
93,AFW,1990,204803865,SP.POP.TOTL,2022-06-30
94,AFW,1989,199382783,SP.POP.TOTL,2022-06-30
95,AFW,1988,194070079,SP.POP.TOTL,2022-06-30
96,AFW,1987,188868567,SP.POP.TOTL,2022-06-30
97,AFW,1986,183785612,SP.POP.TOTL,2022-06-30
98,AFW,1985,178826553,SP.POP.TOTL,2022-06-30
