,indicator,name,source,source_notes,subject_notes,language,units,scale
0,1.0.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día),world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
1,1.0.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día),world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
2,1.0.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día),world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
3,1.0.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Nacional,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,1,,
4,1.0.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día),world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
5,1.0.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día) ,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
6,1.0.PGap.1.90usd,Brecha de Pobreza ($1.90 al día),world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
7,1.0.PGap.2.5usd,Brecha de Pobreza ($2.50 al día),world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
8,1.0.PGap.Poor4uds,Brecha de Pobreza ($4 al día),world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
9,1.0.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día),world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
10,1.0.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día),world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
11,1.0.PSev.Poor4uds,Severidad de la Pobreza ($4 al día),world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
12,1.1.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día)-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
13,1.1.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día)-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
14,1.1.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día)-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
15,1.1.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,1,,
16,1.1.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día)-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
17,1.1.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día)-Rural,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
18,1.1.PGap.1.90usd,Brecha de Pobreza ($1.90 al día)-Rural,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
19,1.1.PGap.2.5usd,Brecha de Pobreza ($2.50 al día)-Rural,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
20,1.1.PGap.Poor4uds,Brecha de Pobreza ($4 al día)-Rural,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
21,1.1.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día)-Rural,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
22,1.1.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día)-Rural,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
23,1.1.PSev.Poor4uds,Severidad de la Pobreza ($4 al día)-Rural,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
24,1.1_ACCESS.ELECTRICITY.TOT,,world_bank,,,1,,
25,1.1_TOTAL.FINAL.ENERGY.CONSUM,,world_bank,,,1,,
26,1.1_YOUTH.LITERACY.RATE,,world_bank,,,1,,
27,1.2.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día)-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
28,1.2.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día)-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
29,1.2.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día)-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
30,1.2.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,1,,
31,1.2.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día)-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
32,1.2.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día)-Urbano,world_bank,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
