date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-playa-dorada/1282079/,NA,1,1,US$,228000,Karat Inmobiliaria ,NA,Playa Dorada, Puerto Plata,En Construcción,54,Residencial,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,228000
2022-08-02,/apartamentos-venta-playa-dorada/1282656/,1,1.5,1,US$,198000,Karat Inmobiliaria ,NA,Playa Dorada, Puerto Plata,En Construcción,67,Mixto,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,198000
2022-08-02,/apartamentos-venta-playa-dorada/1281843/,1,3,2,US$,312900,NOVES PROPERTIES,NA,Playa Dorada, Puerto Plata,En Planos,126,Residencial,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,312900
2022-08-02,/apartamentos-venta-playa-dorada/1285963/,NA,1,1,US$,240000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,Segundo Uso,NA,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240000
2022-08-02,/apartamentos-venta-playa-dorada/1284694/,1,1,1,US$,184800,Seekers Inmobiliaria,NA,Playa Dorada, Puerto Plata,En Construcción,66,Residencial,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,184800
2022-08-02,/apartamentos-venta-playa-dorada/1283142/,1,1,1,US$,132000,Premier Real Estate ,NA,Playa Dorada, Puerto Plata,En Construcción,33,Residencial,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,132000
2022-08-02,/apartamentos-venta-playa-dorada/1285531/,NA,2,2,US$,312000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,Segundo Uso,116,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,312000
2022-08-02,/apartamentos-venta-playa-dorada/1253913/,1,3,3,US$,265000,ZE Bienes Raices,NA,Playa Dorada, Puerto Plata,NA,140,Residencial,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,265000
2022-08-02,/apartamentos-venta-playa-dorada/1215009/,NA,NA,2,US$,289000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,Nueva,126,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,289000
2022-08-02,/apartamentos-venta-playa-dorada/1257538/,NA,2,2,US$,225000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,Segundo Uso,124,Residencial,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,225000
2022-08-02,/apartamentos-venta-playa-dorada/1270922/,1,1,1,US$,130000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,En Construcción,44,Residencial,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,130000
2022-08-02,/apartamentos-venta-playa-dorada/1277620/,NA,1,1,US$,130000,Vetas Soluciones Inmobiliarias,NA,Playa Dorada, Puerto Plata,Nueva,37,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130000
2022-08-02,/apartamentos-venta-playa-dorada/1282331/,1,1,1,US$,268000,Seekers Inmobiliaria,NA,Playa Dorada, Puerto Plata,En Construcción,67,Residencial,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,268000
