"province","id","description"
1,"1355","Cerro Verde"
1,"153","Cofresi"
1,"155","Cabarete"
1,"156","Playa Dorada"
1,"160","Maimon de Pto. Plata"
1,"193","Cupey"
1,"46","Santo Domingo"
1,"68","Puerto Plata"
1,"76","Sosua"
1,"920","Torre Alta"
1,"925","Punta Rucia"
1,"960","Sea Horse Ranch"
1,"961","Sosua"
1,"963","La Mulata I"
2,"1273","Piantini"
2,"1279","Ciudad Juan Bosh"
2,"1283","Avenida España"
2,"1291","Alma Rosa I"
2,"1294","Los Hidalgos"
2,"1296","Av. Charles Summer"
2,"1301","km 14 autopista duarte"
2,"1303","Av. Cayetano Germosen"
2,"1304","Av. George Washington"
2,"1305","Autopista 30 de Mayo"
2,"1307","Arroyo Hondo Viejo"
2,"1325","KM 17 La Gloria, Autopista Duarte "
2,"1330","Bella Vista Sur "
2,"1333","Arismar "
2,"1335","Santo Domingo Oeste"
2,"1336","Pablo Mella Morales, Los Alcarrizos"
2,"1337","Julieta Morales"
2,"1340","Urbanización Fernández "
2,"1343","Buena Vista, Arroyo Hondo "
2,"1344","Av. Jacobo Majluta"
2,"1346","Evaristo Morales"
2,"1349","Av. Winston Churchill"
2,"1350","Av Enriquillo"
2,"1357","Prolongacion 27 de Febrero"
2,"1358","Cuesta Hermosa III"
2,"1361","Los Tres Ojos"
2,"1362","Reparto Los Tres Ojos"
2,"163","KM 9 1/2"
2,"205","Gazcue"
2,"206","Miraflores"
2,"207","Naco"
2,"208","La Esperilla"
2,"209","El Vergel"
2,"211","San Carlos"
2,"212","Zona Universitaria"
2,"213","La Julia"
2,"214","La Fe"
2,"215","Serralles"
2,"216","Paraiso"
2,"218","Los Prados"
2,"219","La Castellana"
2,"220","Fernandez"
2,"221","Julieta"
2,"223","Quisqueya"
2,"224","Las Praderas"
2,"225","San Geronimo"
2,"226","Bella Vista"
2,"227","Mirador Sur"
2,"228","Anacaona"
2,"229","Mirador Norte"
2,"231","Los Cacicazgos"
2,"232","Urbanizacion Real"
2,"233","Renacimiento"
2,"234","Zona Colonial"
2,"235","Ciudad Nueva"
2,"237","Malecon"
2,"238","Honduras"
2,"239","El Cacique"
2,"240","Atala"
2,"241","La Paz"
2,"242","30 de Mayo"
2,"243","Jardines Del Sur"
2,"244","Tropical"
2,"245","Miramar"
2,"246","El Millon"
2,"247","El Invi"
2,"248","El Pedregal"
2,"250","Los Restauradores"
2,"251","Villa Marina"
2,"252","Los Proceres"
2,"253","Los Rios"
2,"254","Gala"
2,"255","Los Pinos"
2,"256","Arroyo Hondo, Cuesta Hermosa III, Isabel villas"
2,"257","Altos de Arroyo Hondo"
2,"258","Altos de Arroyo Hondo II"
2,"259","Altos de Arroyo Hondo III"
2,"262","Cuesta Hermosa I"
2,"263","Cuesta Hermosa II"
2,"264","Cuesta Hermosa III, Isabel villas"
2,"265","Colinas del Seminario"
2,"267","Don Honorio"
2,"268","La Agustina"
2,"269","Isabel Villas"
2,"270","Los Arroyos"
2,"271","Lomas de Arroyo Hondo"
2,"273","Cuesta Brava"
2,"274","Arroyo Manzano"
2,"275","Puerta de Hierro"
2,"277","Villas Agricolas"
2,"278","Villa Juana"
2,"279","Villa Consuelo"
2,"280","Mejoramiento Social"
2,"282","27 de Febrero"
2,"283","Luperon"
2,"284","Espaillat"
2,"285","La Isabela"
2,"286","Pantoja"
2,"288","Ciudad Real"
2,"289","La Meseta"
2,"290","Buena Vista de Arroyo Manzano"
2,"291","Los Pinos de Arroyo Hondo"
2,"292","Brisas del Norte"
2,"293","Claret"
2,"294","Arroyo Hondo II"
2,"295","Cerros Altos de Arroyo Hondo III"
2,"297","Av. Monumental"
2,"298","Colina de los Rios"
2,"299","Kennedy"
2,"300","Villas Naco"
2,"304","Km 8 1/2 de la Sanchez"
2,"305","Maximo Gomez"
2,"309"," Ciudad"
2,"314","Av. Independencia"
2,"315","Ensanche Kennedy"
2,"316","Haina Mosa"
2,"319","Arroyo Hondo III"
2,"323","Los Jardines del Norte"
2,"324","Costa Verde"
2,"325","Manganagua"
2,"326","Jose Contreras"
2,"328","Km. 22 de la Duarte"
2,"330","Buenos Aires del Mirador"
2,"331","Costa Azul"
2,"332","Republica de Colombia"
2,"334","Colinas del Arroyo II"
2,"335","Av. 27 de Febrero"
2,"336","Ave. 27 de Febrero"
2,"338","Tierra LLana"
2,"339","Colinas Del Rio"
2,"341","Ave. Nuñez de Cáceres"
2,"344","Laderas de Arroyo Hondo"
2,"346","Atlantida"
2,"348","Enrriquillo"
2,"349","Los Millones"
2,"350","Bella Vista Norte"
2,"352","El Milloncito"
2,"354","Km 12 de Haina"
2,"357","Zona Universitario"
2,"361","Carmen Maria"
2,"362","Aesa"
2,"364","Autopista Duarte"
2,"366","Altos de Las Praderas"
2,"367","Mata Hambre"
2,"368","San Lazaro"
2,"369","Brisas del Mirador"
2,"374","San Miguel"
2,"376","Villa Maria"
2,"381","Herrera"
2,"382","Manoguayabo"
2,"383","Pedro Brand"
2,"384","Los Alcarrizos"
2,"385","Autopista Duarte"
2,"386","Alameda"
2,"388","Santo Domingo"
2,"389","Las Caobas"
2,"390","Villa Aura"
2,"393","Bayona"
2,"395","Engombe"
2,"396","Zona Industrial De Herrera"
2,"397","Costa Verde"
2,"398","Autopista 6 de Noviembre"
2,"399","Pantoja"
2,"402","Lomas Linda"
2,"404","Próximo Autopista Duarte"
2,"405","Alamo"
2,"408"," Ciudad"
2,"415","Reparto Rosa"
2,"416","Las Palmas de Herrera"
2,"417","Hato Nuevo"
2,"418","Olimpo"
2,"420","Paraiso del Caribe"
2,"421","Cerros de Palmarejos"
2,"429","Prolongacion 27 de Febrero"
2,"432","Don Gregorio"
2,"433","San Benito"
2,"437","Mirador del Oeste"
2,"438","Altos de Engombe"
2,"439","Villa Naco"
2,"440","Don Honorio"
2,"442","Zona Industrial de Haina"
2,"443","El Condado"
2,"446","Reparto Rosa"
2,"453","Alameda Oeste"
2,"454","El Caliche"
2,"457","Ciudad Real II"
2,"458","Ozama"
2,"460","Villa Duarte"
2,"461","Las Americas"
2,"462","Alma Rosa"
2,"463","Los Mina"
2,"465","Vista Hermosa"
2,"467","Los Trinitarios"
2,"468","Mendoza"
2,"469","Villa Faro"
2,"47","Santo Domingo Centro (D.N.)"
2,"470","Los Tres Ojos"
2,"471","La Isabelita"
2,"472","Guerra"
2,"473","Los Prados de San Luis"
2,"474","Vecinos Unidos"
2,"475","Autopista San Isidro"
2,"476","Los Corales del Sur"
2,"478","Los Frailes"
2,"479","El Paraiso"
2,"48","Las Colinas Del Oeste Santo Domingo Oeste"
2,"480","Carretera Mella"
2,"483","Italia"
2,"484","Tropical del Este"
2,"485","Autopista Las Americas"
2,"487","Brisa Oriental"
2,"488","Alameda"
2,"489","Sabana Perdida"
2,"49","Santo Domingo Este"
2,"490","El Brisal"
2,"491","Lucerna"
2,"492","Nuevo Amanecer"
2,"495","Mirador del Este"
2,"50","Santo Domingo Norte"
2,"505","Alma Rosa ll"
2,"506","La Ureña"
2,"508","Prado Oriental"
2,"509","Charles de Gaulle"
2,"51","Boca Chica"
2,"510","El Rosal"
2,"511","Villa Carmen"
2,"513","Hainamosa"
2,"517","Prados de Lucerna"
2,"521","Av. Ecológica"
2,"523","Ralma"
2,"525","Las Palmas de Alma Rosa"
2,"527","Sans Souci"
2,"531","Boca Chica"
2,"543","San Luis"
2,"551","Los Rosales l"
2,"553","La Caleta"
2,"554","Zona Oriental"
2,"556","Oriental Zona"
2,"560","El Almirante"
2,"565","Marbella III"
2,"571","Ensanche Isabelita"
2,"573","Urb. Narcisa II"
2,"578","Altos de Cansino"
2,"579","Los Frailes l"
2,"585","Andres Boca Chica"
2,"587","Valiente"
2,"588","Nuevo Sol Naciente"
2,"590","Villa Mella"
2,"593","Sabana Perdida"
2,"598","Zona Industrial La Isabela"
2,"603","Ciudad Modelo"
2,"608","Mirador Norte"
2,"610","Haras Nacionales"
2,"611"," Ciudad"
2,"612","El Higuero"
2,"613","Paseo del Parque"
2,"614","Bella Vista Norte"
2,"615","Tierra LLana"
2,"618","Ciudad Bonita"
2,"621","Buena Vista ll"
2,"625","Marañon II"
2,"628","Jacobo majluta"
2,"630","Boca Chica"
2,"632","Andres Boca Chica"
2,"634","Boca Chica"
3,"1295","Playa Nueva Romana"
3,"152","Bayahibe"
3,"192","Cumayasa"
3,"56","La Romana"
3,"60","Casa De Campo"
3,"664","La Romana"
3,"665","Buena Vista Norte"
4,"1081","Meliá Bávaro"
4,"1087","Costa Bavaro"
4,"1088","Villas Bávaro"
4,"1092","Cabeza de Toro"
4,"1100","Avenida España"
4,"1106","Macao"
4,"1108","La Vacama"
4,"1300","Punta Cana Village"
4,"57","Higuey"
4,"58","Bávaro, Punta Cana"
4,"666","Higuey"
4,"674","Boca de Yuma"
4,"675","La Otra Banda"
4,"680","Palma Real"
4,"681","Pueblo Bávaro"
4,"682","Bávaro"
4,"686","Residencial Costa Bávaro"
4,"687","Bávaro y Punta Cana (General)"
4,"688","Verón"
4,"689","Friusa"
4,"690","Uvero Alto"
4,"691","Cortecito"
4,"692","White Sands"
4,"693","El Cocotal"
4,"695","Cap Cana"
4,"696","Punta Cana"
5,"1331","Carretera San Pedro-La Romana "
5,"1341","Metro Country Club, Juan Dolio"
5,"1348","Hemingway"
5,"52","Juan Dolio"
5,"53","San Pedro De Macoris"
5,"54","Guayacanes"
5,"55","Villas Del Mar"
5,"635","Metro Country Club"
5,"636","Guavaberry"
5,"637","Juan Dolio"
5,"638","Nueva Autopista del Este"
5,"639","Autopista Las Americas"
5,"641","Villas del Mar"
5,"643","Club Hemingway"
5,"644","Los Llanos"
5,"645","Brisas de guavaberry"
5,"646","Sybaris Residences"
5,"651","Metro Country Club"
5,"652","Guavaberry"
5,"653","Guavaberry"
5,"657","Hazim"
6,"118","Matanzas"
6,"119","Nizao"
6,"71","Bani"
6,"939","Bani"
6,"940","Nizao"
6,"944","Boca Canasta"
6,"947","Paya"
6,"949","Salinas"
7,"1030","Samana"
7,"1032","Los Naranjos"
7,"1034","Las Terrenas"
7,"1035","Las Ballenas"
7,"1037","El portillo"
7,"1038","Playa Bonita"
7,"1039","Coson"
7,"1042","Las Galeras"
7,"1286","Playa El Francés"
7,"132","Samana"
7,"134","Las Terrenas"
7,"135","El Portillo"
7,"136","El Limon"
7,"137","Las Galeras"
8,"61","La Vega"
8,"62","Jarabacoa"
8,"64","Constanza"
8,"707","Jarabacoa"
8,"709","El Montaña"
8,"711","Pedregal"
8,"904","Constanza"
8,"905","Arroyo Frio"
9,"1290"," La Esmeralda"
9,"145","Licey"
