,country_iso3,date,value,indicator,last_updated
0,AFE,2021,25.9906453696583,NE.IMP.GNFS.ZS,2022-06-30
1,AFE,2020,24.2500252848021,NE.IMP.GNFS.ZS,2022-06-30
2,AFE,2019,26.6061980030286,NE.IMP.GNFS.ZS,2022-06-30
3,AFE,2018,28.4926496468551,NE.IMP.GNFS.ZS,2022-06-30
4,AFE,2017,24.652815358759,NE.IMP.GNFS.ZS,2022-06-30
5,AFE,2016,26.4933051111617,NE.IMP.GNFS.ZS,2022-06-30
6,AFE,2015,29.3584997920209,NE.IMP.GNFS.ZS,2022-06-30
7,AFE,2014,31.6315652040195,NE.IMP.GNFS.ZS,2022-06-30
8,AFE,2013,33.6013971925632,NE.IMP.GNFS.ZS,2022-06-30
9,AFE,2012,32.9210809152773,NE.IMP.GNFS.ZS,2022-06-30
10,AFE,2011,31.7847633034943,NE.IMP.GNFS.ZS,2022-06-30
11,AFE,2010,30.617207706613,NE.IMP.GNFS.ZS,2022-06-30
12,AFE,2009,32.0253849426948,NE.IMP.GNFS.ZS,2022-06-30
13,AFE,2008,36.3789064947636,NE.IMP.GNFS.ZS,2022-06-30
14,AFE,2007,31.9598676757971,NE.IMP.GNFS.ZS,2022-06-30
15,AFE,2006,29.6946109854378,NE.IMP.GNFS.ZS,2022-06-30
16,AFE,2005,28.4848300902094,NE.IMP.GNFS.ZS,2022-06-30
17,AFE,2004,27.3933557850482,NE.IMP.GNFS.ZS,2022-06-30
18,AFE,2003,26.7328263512416,NE.IMP.GNFS.ZS,2022-06-30
19,AFE,2002,28.2477671083473,NE.IMP.GNFS.ZS,2022-06-30
20,AFE,2001,27.0232341199941,NE.IMP.GNFS.ZS,2022-06-30
21,AFE,2000,25.8687046997079,NE.IMP.GNFS.ZS,2022-06-30
22,AFE,1999,25.6708001613201,NE.IMP.GNFS.ZS,2022-06-30
23,AFE,1998,27.2017157287045,NE.IMP.GNFS.ZS,2022-06-30
24,AFE,1997,26.2949281401457,NE.IMP.GNFS.ZS,2022-06-30
25,AFE,1996,26.6023500340533,NE.IMP.GNFS.ZS,2022-06-30
26,AFE,1995,25.9922211161923,NE.IMP.GNFS.ZS,2022-06-30
27,AFE,1994,24.1377846263956,NE.IMP.GNFS.ZS,2022-06-30
28,AFE,1993,21.3858392290955,NE.IMP.GNFS.ZS,2022-06-30
29,AFE,1992,21.1938098590201,NE.IMP.GNFS.ZS,2022-06-30
30,AFE,1991,19.4823121198199,NE.IMP.GNFS.ZS,2022-06-30
31,AFE,1990,19.6695594823159,NE.IMP.GNFS.ZS,2022-06-30
32,AFE,1989,,NE.IMP.GNFS.ZS,2022-06-30
33,AFE,1988,,NE.IMP.GNFS.ZS,2022-06-30
34,AFE,1987,,NE.IMP.GNFS.ZS,2022-06-30
35,AFE,1986,,NE.IMP.GNFS.ZS,2022-06-30
36,AFE,1985,,NE.IMP.GNFS.ZS,2022-06-30
37,AFE,1984,,NE.IMP.GNFS.ZS,2022-06-30
38,AFE,1983,,NE.IMP.GNFS.ZS,2022-06-30
39,AFE,1982,,NE.IMP.GNFS.ZS,2022-06-30
40,AFE,1981,,NE.IMP.GNFS.ZS,2022-06-30
41,AFE,1980,,NE.IMP.GNFS.ZS,2022-06-30
42,AFE,1979,,NE.IMP.GNFS.ZS,2022-06-30
43,AFE,1978,,NE.IMP.GNFS.ZS,2022-06-30
44,AFE,1977,,NE.IMP.GNFS.ZS,2022-06-30
45,AFE,1976,,NE.IMP.GNFS.ZS,2022-06-30
46,AFE,1975,,NE.IMP.GNFS.ZS,2022-06-30
47,AFE,1974,,NE.IMP.GNFS.ZS,2022-06-30
48,AFE,1973,,NE.IMP.GNFS.ZS,2022-06-30
49,AFE,1972,,NE.IMP.GNFS.ZS,2022-06-30
50,AFE,1971,,NE.IMP.GNFS.ZS,2022-06-30
51,AFE,1970,,NE.IMP.GNFS.ZS,2022-06-30
52,AFE,1969,,NE.IMP.GNFS.ZS,2022-06-30
53,AFE,1968,,NE.IMP.GNFS.ZS,2022-06-30
54,AFE,1967,,NE.IMP.GNFS.ZS,2022-06-30
55,AFE,1966,,NE.IMP.GNFS.ZS,2022-06-30
56,AFE,1965,,NE.IMP.GNFS.ZS,2022-06-30
57,AFE,1964,,NE.IMP.GNFS.ZS,2022-06-30
58,AFE,1963,,NE.IMP.GNFS.ZS,2022-06-30
59,AFE,1962,,NE.IMP.GNFS.ZS,2022-06-30
60,AFE,1961,,NE.IMP.GNFS.ZS,2022-06-30
61,AFE,1960,,NE.IMP.GNFS.ZS,2022-06-30
62,AFW,2021,,NE.IMP.GNFS.ZS,2022-06-30
63,AFW,2020,,NE.IMP.GNFS.ZS,2022-06-30
64,AFW,2019,25.9871424622657,NE.IMP.GNFS.ZS,2022-06-30
65,AFW,2018,24.6930369568464,NE.IMP.GNFS.ZS,2022-06-30
66,AFW,2017,22.4160927240951,NE.IMP.GNFS.ZS,2022-06-30
67,AFW,2016,21.2779557782917,NE.IMP.GNFS.ZS,2022-06-30
68,AFW,2015,20.225888369395,NE.IMP.GNFS.ZS,2022-06-30
69,AFW,2014,21.024117515417,NE.IMP.GNFS.ZS,2022-06-30
70,AFW,2013,21.8827200185088,NE.IMP.GNFS.ZS,2022-06-30
71,AFW,2012,23.0303723078099,NE.IMP.GNFS.ZS,2022-06-30
72,AFW,2011,28.2343974482529,NE.IMP.GNFS.ZS,2022-06-30
73,AFW,2010,25.9402802648625,NE.IMP.GNFS.ZS,2022-06-30
74,AFW,2009,25.3143070117934,NE.IMP.GNFS.ZS,2022-06-30
75,AFW,2008,23.9282213749849,NE.IMP.GNFS.ZS,2022-06-30
76,AFW,2007,25.7225343581145,NE.IMP.GNFS.ZS,2022-06-30
77,AFW,2006,21.4101327375917,NE.IMP.GNFS.ZS,2022-06-30
78,AFW,2005,21.7517194236629,NE.IMP.GNFS.ZS,2022-06-30
79,AFW,2004,22.0231752996369,NE.IMP.GNFS.ZS,2022-06-30
80,AFW,2003,28.301784088693,NE.IMP.GNFS.ZS,2022-06-30
81,AFW,2002,25.3804280714613,NE.IMP.GNFS.ZS,2022-06-30
82,AFW,2001,28.2779164729402,NE.IMP.GNFS.ZS,2022-06-30
83,AFW,2000,23.7297643238327,NE.IMP.GNFS.ZS,2022-06-30
84,AFW,1999,24.2585184559608,NE.IMP.GNFS.ZS,2022-06-30
85,AFW,1998,28.6406627088917,NE.IMP.GNFS.ZS,2022-06-30
