,country_iso3,date,value,indicator,last_updated
0,AFE,2021,,SI.POV.DDAY,2022-06-30
1,AFE,2020,,SI.POV.DDAY,2022-06-30
2,AFE,2019,,SI.POV.DDAY,2022-06-30
3,AFE,2018,,SI.POV.DDAY,2022-06-30
4,AFE,2017,,SI.POV.DDAY,2022-06-30
5,AFE,2016,,SI.POV.DDAY,2022-06-30
6,AFE,2015,,SI.POV.DDAY,2022-06-30
7,AFE,2014,,SI.POV.DDAY,2022-06-30
8,AFE,2013,,SI.POV.DDAY,2022-06-30
9,AFE,2012,,SI.POV.DDAY,2022-06-30
10,AFE,2011,,SI.POV.DDAY,2022-06-30
11,AFE,2010,,SI.POV.DDAY,2022-06-30
12,AFE,2009,,SI.POV.DDAY,2022-06-30
13,AFE,2008,,SI.POV.DDAY,2022-06-30
14,AFE,2007,,SI.POV.DDAY,2022-06-30
15,AFE,2006,,SI.POV.DDAY,2022-06-30
16,AFE,2005,,SI.POV.DDAY,2022-06-30
17,AFE,2004,,SI.POV.DDAY,2022-06-30
18,AFE,2003,,SI.POV.DDAY,2022-06-30
19,AFE,2002,,SI.POV.DDAY,2022-06-30
20,AFE,2001,,SI.POV.DDAY,2022-06-30
21,AFE,2000,,SI.POV.DDAY,2022-06-30
22,AFE,1999,,SI.POV.DDAY,2022-06-30
23,AFE,1998,,SI.POV.DDAY,2022-06-30
24,AFE,1997,,SI.POV.DDAY,2022-06-30
25,AFE,1996,,SI.POV.DDAY,2022-06-30
26,AFE,1995,,SI.POV.DDAY,2022-06-30
27,AFE,1994,,SI.POV.DDAY,2022-06-30
28,AFE,1993,,SI.POV.DDAY,2022-06-30
29,AFE,1992,,SI.POV.DDAY,2022-06-30
30,AFE,1991,,SI.POV.DDAY,2022-06-30
31,AFE,1990,,SI.POV.DDAY,2022-06-30
32,AFE,1989,,SI.POV.DDAY,2022-06-30
33,AFE,1988,,SI.POV.DDAY,2022-06-30
34,AFE,1987,,SI.POV.DDAY,2022-06-30
35,AFE,1986,,SI.POV.DDAY,2022-06-30
36,AFE,1985,,SI.POV.DDAY,2022-06-30
37,AFE,1984,,SI.POV.DDAY,2022-06-30
38,AFE,1983,,SI.POV.DDAY,2022-06-30
39,AFE,1982,,SI.POV.DDAY,2022-06-30
40,AFE,1981,,SI.POV.DDAY,2022-06-30
41,AFE,1980,,SI.POV.DDAY,2022-06-30
42,AFE,1979,,SI.POV.DDAY,2022-06-30
43,AFE,1978,,SI.POV.DDAY,2022-06-30
44,AFE,1977,,SI.POV.DDAY,2022-06-30
45,AFE,1976,,SI.POV.DDAY,2022-06-30
46,AFE,1975,,SI.POV.DDAY,2022-06-30
47,AFE,1974,,SI.POV.DDAY,2022-06-30
48,AFE,1973,,SI.POV.DDAY,2022-06-30
49,AFE,1972,,SI.POV.DDAY,2022-06-30
50,AFE,1971,,SI.POV.DDAY,2022-06-30
51,AFE,1970,,SI.POV.DDAY,2022-06-30
52,AFE,1969,,SI.POV.DDAY,2022-06-30
53,AFE,1968,,SI.POV.DDAY,2022-06-30
54,AFE,1967,,SI.POV.DDAY,2022-06-30
55,AFE,1966,,SI.POV.DDAY,2022-06-30
56,AFE,1965,,SI.POV.DDAY,2022-06-30
57,AFE,1964,,SI.POV.DDAY,2022-06-30
58,AFE,1963,,SI.POV.DDAY,2022-06-30
59,AFE,1962,,SI.POV.DDAY,2022-06-30
60,AFE,1961,,SI.POV.DDAY,2022-06-30
61,AFE,1960,,SI.POV.DDAY,2022-06-30
62,AFW,2021,,SI.POV.DDAY,2022-06-30
63,AFW,2020,,SI.POV.DDAY,2022-06-30
64,AFW,2019,,SI.POV.DDAY,2022-06-30
65,AFW,2018,,SI.POV.DDAY,2022-06-30
66,AFW,2017,,SI.POV.DDAY,2022-06-30
67,AFW,2016,,SI.POV.DDAY,2022-06-30
68,AFW,2015,,SI.POV.DDAY,2022-06-30
69,AFW,2014,,SI.POV.DDAY,2022-06-30
70,AFW,2013,,SI.POV.DDAY,2022-06-30
71,AFW,2012,,SI.POV.DDAY,2022-06-30
72,AFW,2011,,SI.POV.DDAY,2022-06-30
73,AFW,2010,,SI.POV.DDAY,2022-06-30
74,AFW,2009,,SI.POV.DDAY,2022-06-30
75,AFW,2008,,SI.POV.DDAY,2022-06-30
76,AFW,2007,,SI.POV.DDAY,2022-06-30
77,AFW,2006,,SI.POV.DDAY,2022-06-30
78,AFW,2005,,SI.POV.DDAY,2022-06-30
79,AFW,2004,,SI.POV.DDAY,2022-06-30
80,AFW,2003,,SI.POV.DDAY,2022-06-30
81,AFW,2002,,SI.POV.DDAY,2022-06-30
82,AFW,2001,,SI.POV.DDAY,2022-06-30
83,AFW,2000,,SI.POV.DDAY,2022-06-30
84,AFW,1999,,SI.POV.DDAY,2022-06-30
85,AFW,1998,,SI.POV.DDAY,2022-06-30
86,AFW,1997,,SI.POV.DDAY,2022-06-30
87,AFW,1996,,SI.POV.DDAY,2022-06-30
88,AFW,1995,,SI.POV.DDAY,2022-06-30
89,AFW,1994,,SI.POV.DDAY,2022-06-30
90,AFW,1993,,SI.POV.DDAY,2022-06-30
91,AFW,1992,,SI.POV.DDAY,2022-06-30
92,AFW,1991,,SI.POV.DDAY,2022-06-30
93,AFW,1990,,SI.POV.DDAY,2022-06-30
94,AFW,1989,,SI.POV.DDAY,2022-06-30
95,AFW,1988,,SI.POV.DDAY,2022-06-30
